GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Apex,net.sourceforge.pmd.lang.apex.ast,AbstractApexNode,33,160,7,19,8,50,7,17,1,10
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTSoqlExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTIfElseBlockStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTConstructorPreambleStatement,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ApexTreeBuilder,76,642,1,7,20,180,9,77,8,74
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTRunAsBlockStatement,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewListLiteralExpression,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ApexRootNode,0,16,0,0,0,6,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTNewNameValueObjectExpression,5,4,0,0,1,2,1,1,1,1
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTBridgeMethodCreator,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTTestNode,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTMethod,0,42,0,4,0,12,0,7,0,5
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTSoslExpression,9,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTWhileLoopStatement,0,9,0,0,0,3,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.ast,CompilerService,7,130,0,2,2,30,1,10,1,9
PMD Apex,net.sourceforge.pmd.lang.apex.ast,ASTMethodCallExpression,0,52,0,2,0,9,0,5,0,4
